number_extend,scenario,mean_anchoring_time,ci_lower,ci_upper
10,Local Anchoring,15.984647999999998,15.626666666666665,16.52
10,Remote Anchoring,25.914269333333333,25.006666666666664,26.953333333333333
10,Remote Anchoring with mTLS,43.092376,41.34,44.82
100,Local Anchoring,16.45505,16.22,16.688
100,Remote Anchoring,24.402245999999998,23.821999999999996,24.992
100,Remote Anchoring with mTLS,41.8685984,41.32000000000001,42.338
1000,Local Anchoring,15.875104080000002,15.6076,16.144
1000,Remote Anchoring,23.96404928,23.555600000000002,24.31027
1000,Remote Anchoring with mTLS,40.67225236,40.2368,41.034
10000,Local Anchoring,15.905048512,15.70812,16.09166
10000,Remote Anchoring,23.903416196000002,23.502360000000003,24.24702
10000,Remote Anchoring with mTLS,40.615014608,40.24918,40.91298
100000,Local Anchoring,15.928631797600001,15.728615999999999,16.131672
100000,Remote Anchoring,24.0972560248,23.657148,24.491896
100000,Remote Anchoring with mTLS,40.5635141584,40.194014,40.93839
