scenario,number_extend,count,mean_anchoring_time,std,min,percentile25,percentile50,percentile75,max
Local Anchoring,10,10.0,15.5,0.5270462766947299,15.0,15.0,15.5,16.0,16.0
Local Anchoring,100,100.0,16.19,3.786459127902049,15.0,15.0,16.0,16.0,46.0
Local Anchoring,1000,1000.0,15.574,0.5466468904355193,14.0,15.0,16.0,16.0,18.0
Local Anchoring,10000,10000.0,15.6021,0.5619672327788381,10.0,15.0,16.0,16.0,19.0
Local Anchoring,100000,100000.0,15.63095,0.5863749106630624,10.0,15.0,16.0,16.0,37.0
Remote Anchoring,10,10.0,30.1,11.493476410555683,20.0,26.25,27.0,27.0,58.0
Remote Anchoring,100,100.0,23.49,2.5165914096714874,18.0,23.0,24.0,25.0,30.0
Remote Anchoring,1000,1000.0,23.968,1.9048896568055078,17.0,23.0,24.0,25.0,31.0
Remote Anchoring,10000,10000.0,23.761,1.9615462692419126,17.0,23.0,24.0,25.0,44.0
Remote Anchoring,100000,100000.0,23.92584,1.9111035601377115,16.0,23.0,24.0,25.0,45.0
Remote Anchoring with mTLS,10,10.0,39.9,1.791957340762082,38.0,39.0,39.0,40.0,44.0
Remote Anchoring with mTLS,100,100.0,40.92,3.948353447893811,34.0,39.0,40.0,41.25,62.0
Remote Anchoring with mTLS,1000,1000.0,39.962,3.345706166080611,33.0,39.0,40.0,41.0,63.0
Remote Anchoring with mTLS,10000,10000.0,39.924,3.2011011706709804,32.0,39.0,39.0,41.0,77.0
Remote Anchoring with mTLS,100000,100000.0,40.07706,3.3364611605897925,32.0,39.0,40.0,41.0,79.0
Local Anchoring,10,10.0,16.2,0.6324555320336759,15.0,16.0,16.0,16.75,17.0
Local Anchoring,100,100.0,16.73,2.9843192885751404,15.0,16.0,16.0,17.0,39.0
Local Anchoring,1000,1000.0,16.114,0.6924474590057178,10.0,16.0,16.0,17.0,18.0
Local Anchoring,10000,10000.0,16.1322,0.6759947166108546,11.0,16.0,16.0,17.0,19.0
Local Anchoring,100000,100000.0,16.14664,0.6747453321165926,10.0,16.0,16.0,17.0,38.0
Remote Anchoring,10,10.0,27.5,7.184087354084102,23.0,24.0,24.0,25.75,42.0
Remote Anchoring,100,100.0,23.93,2.999174970729537,17.0,23.0,24.0,24.0,50.0
Remote Anchoring,1000,1000.0,23.229,2.105467167160773,16.0,23.0,24.0,24.0,30.0
Remote Anchoring,10000,10000.0,23.1294,1.9870204994027016,16.0,23.0,24.0,24.0,32.0
Remote Anchoring,100000,100000.0,23.25411,2.194836276573714,16.0,23.0,23.0,24.0,262.0
Remote Anchoring with mTLS,10,10.0,45.5,11.587828863845797,40.0,41.0,41.0,42.75,78.0
Remote Anchoring with mTLS,100,100.0,42.01,5.240662692307675,34.0,40.0,41.0,42.0,70.0
Remote Anchoring with mTLS,1000,1000.0,40.974,3.390696214764864,33.0,40.0,41.0,42.0,69.0
Remote Anchoring with mTLS,10000,10000.0,40.8027,3.41753429596069,33.0,40.0,41.0,42.0,91.0
Remote Anchoring with mTLS,100000,100000.0,40.01998,3.3878098488786645,32.0,39.0,40.0,41.0,83.0
Local Anchoring,10,10.0,16.0,0.4714045207910317,15.0,16.0,16.0,16.0,17.0
Local Anchoring,100,100.0,16.07,3.4996536625180164,15.0,15.0,16.0,16.0,42.0
Local Anchoring,1000,1000.0,15.435,0.6341744059619434,10.0,15.0,15.0,16.0,19.0
Local Anchoring,10000,10000.0,15.6581,0.5611023735356553,13.0,15.0,16.0,16.0,18.0
Local Anchoring,100000,100000.0,15.66562,0.5838265359966144,10.0,15.0,16.0,16.0,37.0
Remote Anchoring,10,10.0,29.6,11.768130220595323,23.0,23.25,25.0,25.0,56.0
Remote Anchoring,100,100.0,24.71,1.7250091494414073,18.0,24.0,25.0,26.0,29.0
Remote Anchoring,1000,1000.0,23.915,2.2191664425409154,17.0,23.0,24.0,25.0,30.0
Remote Anchoring,10000,10000.0,24.0618,1.930842711190549,17.0,24.0,24.0,25.0,35.0
Remote Anchoring,100000,100000.0,24.1648,1.9847469239679432,16.0,24.0,24.0,25.0,46.0
