number_extend,local_anchoring,remote_anchoring,difference
10,15.50,30.10,14.60
10,16.20,27.50,11.30
10,16.00,29.60,13.60
10,15.90,27.70,11.80
10,15.60,23.20,7.60
10,15.60,24.80,9.20
10,15.40,24.20,8.80
10,15.70,24.20,8.50
10,19.10,25.30,6.20
10,15.60,26.10,10.50
10,15.60,25.40,9.80
10,15.40,25.70,10.30
10,15.60,24.90,9.30
10,15.60,24.90,9.30
10,17.00,25.10,8.10
100,16.19,23.49,7.30
100,16.73,23.93,7.20
100,16.07,24.71,8.64
100,16.58,25.44,8.86
100,16.70,24.45,7.75
1000,15.57,23.97,8.39
1000,16.11,23.23,7.12
1000,15.44,23.92,8.48
1000,16.02,24.18,8.16
1000,16.24,24.54,8.30
10000,15.60,23.76,8.16
10000,16.13,23.13,7.00
10000,15.66,24.06,8.40
10000,16.04,24.14,8.10
10000,16.08,24.44,8.37
100000,15.63,23.93,8.29
100000,16.15,23.25,7.11
100000,15.67,24.16,8.50
100000,16.05,24.49,8.44
100000,16.16,24.63,8.48
