number_extend,local_anchoring,remote_anchoring,difference
10,15.50,39.90,24.40
10,16.20,45.50,29.30
10,16.00,42.00,26.00
10,15.90,45.10,29.20
10,15.60,42.90,27.30
100,16.19,40.92,24.73
100,16.73,42.01,25.28
100,16.07,42.24,26.17
100,16.58,42.60,26.02
100,16.70,41.60,24.90
1000,15.57,39.96,24.39
1000,16.11,40.97,24.86
1000,15.44,41.10,25.66
1000,16.02,40.30,24.28
1000,16.24,41.00,24.76
10000,15.60,39.92,24.32
10000,16.13,40.80,24.67
10000,15.66,40.86,25.20
10000,16.04,40.45,24.41
10000,16.08,41.02,24.95
100000,15.63,40.08,24.45
100000,16.15,40.02,23.87
100000,15.67,40.89,25.22
100000,16.05,40.78,24.73
100000,16.16,41.07,24.91
