number_extend,scenario,host_id,mean_cpu_utilization,ci_lower,ci_upper
1000,Baseline,Host1,3.2540152822274764,3.188795379537954,3.322082081342463
1000,Baseline,Host2,3.5106504639073917,3.414141826829742,3.6578526445497195
1000,Local Anchoring,Host1,6.397580320987654,6.377299382716049,6.415632716049383
1000,Local Anchoring,Host2,6.453779206790124,6.4255555555555555,6.480941358024691
1000,Remote Anchoring,Host1,6.611370098678897,6.565755595938618,6.6450999480789195
1000,Remote Anchoring,Host2,6.708482934146763,6.637986327448945,6.797077708549671
1000,Remote Anchoring with mTLS,Host1,6.8260575123456775,6.722098765432097,6.92202160493827
1000,Remote Anchoring with mTLS,Host2,7.129549833333332,6.981788194444443,7.343981481481481
10000,Baseline,Host1,3.2934448883120364,3.2762936609129096,3.311350860857864
10000,Baseline,Host2,3.5175716491667846,3.4608172639987695,3.5786094243427384
10000,Local Anchoring,Host1,6.49881992510662,6.434243473416181,6.5895903139433
10000,Local Anchoring,Host2,6.512146286324075,6.485869071124255,6.5393587637233965
10000,Remote Anchoring,Host1,6.610012232683296,6.580816836382401,6.640894748208212
10000,Remote Anchoring,Host2,6.74976348340384,6.688976231509407,6.825129449799132
10000,Remote Anchoring with mTLS,Host1,6.835040966693645,6.753310673731636,6.912017558079356
10000,Remote Anchoring with mTLS,Host2,7.051223456902342,7.018250956917963,7.083277196909154
100000,Baseline,Host1,3.3271456822115937,3.281222463200487,3.380629142529516
100000,Baseline,Host2,3.580195171306141,3.537613250705532,3.6324037890741043
100000,Local Anchoring,Host1,6.490192281605882,6.457803427096242,6.522852694086921
100000,Local Anchoring,Host2,6.574448330436793,6.542205705042765,6.614937023437
100000,Remote Anchoring,Host1,6.657445086727245,6.595863292602519,6.752184862963346
100000,Remote Anchoring,Host2,6.759039484032724,6.7382132362236336,6.786605746792593
100000,Remote Anchoring with mTLS,Host1,6.89371632122288,6.851013407013664,6.958896435041454
100000,Remote Anchoring with mTLS,Host2,7.139248037388432,7.106459485049462,7.180074746895212
