scenario,host_id,count,mean_cpu_utilization,std,min,percentile25,percentile50,percentile75,max,number_extend
Baseline,Host1,202.0,3.2357920792079207,0.536275729495939,0.13,3.15,3.32,3.43,5.16,1000
Baseline,Host2,202.0,3.5014851485148513,0.32489534829006883,0.8,3.405,3.52,3.64,5.27,1000
Local Anchoring,Host1,108.0,6.407592592592592,0.4217074114586996,4.18,6.387499999999999,6.44,6.53,7.91,1000
Local Anchoring,Host2,108.0,6.493055555555555,0.2849248411582153,4.51,6.41,6.505,6.612500000000001,7.09,1000
Remote Anchoring,Host1,108.0,6.507685185185185,0.43418331647108993,4.22,6.49,6.55,6.66,7.57,1000
Remote Anchoring,Host2,108.0,6.746851851851852,0.34989624135758424,4.3,6.705,6.78,6.88,7.45,1000
Remote Anchoring with mTLS,Host1,108.0,6.987592592592593,0.4795926432880506,4.25,6.925,7.045,7.1425,8.24,1000
Remote Anchoring with mTLS,Host2,108.0,7.635092592592592,1.5934594677802876,4.55,6.96,7.105,7.485,14.1,1000
Baseline,Host1,1996.0,3.2731863727454913,0.47029257393394247,0.04,3.23,3.32,3.43,4.73,10000
Baseline,Host2,1996.0,3.4855360721442885,0.36208594114289583,0.92,3.35,3.44,3.56,7.79,10000
Local Anchoring,Host1,1060.0,6.42883962264151,0.27670541283435557,4.18,6.35,6.44,6.53,7.54,10000
Local Anchoring,Host2,1060.0,6.56854716981132,0.41667957975251224,4.64,6.41,6.52,6.61,11.74,10000
Remote Anchoring,Host1,1059.0,6.557658168083098,0.33883821336493103,4.18,6.48,6.58,6.69,7.95,10000
Remote Anchoring,Host2,1059.0,6.916118980169972,0.6857553815299291,4.72,6.7,6.81,6.95,14.08,10000
Remote Anchoring with mTLS,Host1,1065.0,6.88324882629108,0.3685135237174137,4.18,6.78,6.9,7.03,8.23,10000
Remote Anchoring with mTLS,Host2,1065.0,7.117849765258216,0.2098633998134069,4.47,7.0,7.11,7.23,8.0,10000
Baseline,Host1,20078.0,3.245912441478235,0.5256713514925021,0.0,3.2,3.31,3.43,6.82,100000
Baseline,Host2,20078.0,3.5760733140751073,0.44682269024246113,0.92,3.39,3.51,3.64,8.16,100000
Local Anchoring,Host1,10597.0,6.541992073228273,0.5501727865565514,4.17,6.4,6.49,6.6,12.25,100000
Local Anchoring,Host2,10597.0,6.566268755308106,0.4554485245253894,4.52,6.4,6.5,6.61,12.37,100000
Remote Anchoring,Host1,10576.0,6.561180975794251,0.31357494074329145,4.16,6.49,6.57,6.68,8.43,100000
Remote Anchoring,Host2,10576.0,6.741929841149773,0.45671607248840607,4.68,6.59,6.69,6.81,14.46,100000
Remote Anchoring with mTLS,Host1,8929.0,6.8597334527942655,0.49392573384825056,4.17,6.75,6.86,6.97,13.28,100000
Remote Anchoring with mTLS,Host2,8929.0,7.084326352335088,0.4482793134363718,4.55,6.93,7.04,7.16,14.33,100000
Baseline,Host1,202.0,3.135891089108911,0.5995599115867342,0.0,3.14,3.24,3.32,5.16,1000
Baseline,Host2,202.0,4.0925247524752475,1.0927618312250278,0.33,3.43,3.62,4.4825,7.51,1000
Local Anchoring,Host1,108.0,6.371203703703704,0.4130685661727193,4.18,6.29,6.4,6.53,7.4,1000
Local Anchoring,Host2,108.0,6.448703703703704,0.28451990253658077,4.51,6.3675,6.45,6.53,7.3,1000
Remote Anchoring,Host1,107.0,6.593551401869159,0.38540410631324434,4.18,6.49,6.62,6.715,7.49,1000
Remote Anchoring,Host2,107.0,6.70448598130841,0.25656744909223733,4.63,6.62,6.72,6.8,7.46,1000
Remote Anchoring with mTLS,Host1,108.0,6.619629629629628,0.592250461550971,4.26,6.67,6.74,6.8125,7.96,1000
Remote Anchoring with mTLS,Host2,108.0,6.964907407407407,0.3309106533573151,4.52,6.907500000000001,6.98,7.1,8.09,1000
Baseline,Host1,1996.0,3.2987024048096187,0.6201536470739956,0.0,3.19,3.31,3.43,7.62,10000
Baseline,Host2,1996.0,3.4320941883767535,0.3152244267889208,0.71,3.31,3.4,3.52,7.41,10000
Local Anchoring,Host1,1064.0,6.412424812030075,0.313774016722305,4.17,6.33,6.42,6.52,7.69,10000
Local Anchoring,Host2,1065.0,6.4759248826291085,0.17802201115968927,4.59,6.37,6.47,6.56,7.7,10000
Remote Anchoring,Host1,1056.0,6.647992424242424,0.2946504780378885,4.18,6.557499999999999,6.65,6.77,7.85,10000
Remote Anchoring,Host2,1056.0,6.736458333333333,0.39381371948626737,4.7,6.6,6.69,6.81,12.91,10000
Remote Anchoring with mTLS,Host1,1068.0,6.669588014981272,0.5653142035715114,4.14,6.68,6.78,6.862500000000001,8.44,10000
Remote Anchoring with mTLS,Host2,1068.0,7.068024344569288,0.5358273052020011,4.56,6.92,7.03,7.13,13.49,10000
Baseline,Host1,20070.0,3.3443363228699554,0.6280597358780533,0.0,3.24,3.36,3.51,8.13,100000
Baseline,Host2,20070.0,3.5131609367214747,0.43436704030697393,0.67,3.32,3.44,3.59,8.53,100000
Local Anchoring,Host1,10642.0,6.496803232475099,0.41279774444478284,4.16,6.4,6.49,6.6,11.79,100000
Local Anchoring,Host2,10642.0,6.535771471527909,0.4217681217020072,4.58,6.38,6.47,6.57,11.5,100000
Remote Anchoring,Host1,10561.0,6.642591610642932,0.3864683196394188,4.17,6.53,6.63,6.74,13.54,100000
Remote Anchoring,Host2,10561.0,6.743891676924533,0.5168634326028092,4.4,6.58,6.68,6.79,13.82,100000
Remote Anchoring with mTLS,Host1,10635.0,6.870192759755525,0.4740481395356259,4.17,6.78,6.88,6.99,13.62,100000
Remote Anchoring with mTLS,Host2,10635.0,7.235634226610249,0.8668562938713303,4.72,6.95,7.07,7.21,14.65,100000
Baseline,Host1,202.0,3.3809900990099013,0.6430826025732062,0.25,3.39,3.47,3.59,5.59,1000
Baseline,Host2,202.0,3.4300990099009896,0.3522450951591679,0.33,3.35,3.4450000000000003,3.56,5.36,1000
Local Anchoring,Host1,108.0,6.405833333333333,0.405181683028345,4.22,6.37,6.44,6.51,7.94,1000
Local Anchoring,Host2,108.0,6.401759259259259,0.2238191388662076,4.67,6.355,6.41,6.48,7.01,1000
Remote Anchoring,Host1,108.0,6.641851851851851,0.462983312809937,4.18,6.57,6.665,6.8,7.95,1000
Remote Anchoring,Host2,108.0,6.908703703703703,0.3701025182362934,4.5,6.82,6.93,7.0425,7.96,1000
Remote Anchoring with mTLS,Host1,108.0,6.791574074074073,0.47988542642919957,4.25,6.7275,6.83,6.95,8.19,1000
Remote Anchoring with mTLS,Host2,108.0,7.159907407407407,0.8066423953421423,4.61,6.92,7.03,7.18,11.87,1000
Baseline,Host1,1998.0,3.3288038038038037,0.5315669908338572,0.04,3.27,3.39,3.52,5.32,10000
