scenario,host_id,count,mean_memory_utilization,std,min,percentile25,percentile50,percentile75,max,number_extend
Baseline,Host1,202.0,14.757128712871285,0.01894409863155037,14.71,14.74,14.76,14.77,14.79,1000
Baseline,Host2,203.0,15.395467980295567,0.011481914722840336,15.33,15.39,15.4,15.4,15.41,1000
Local Anchoring,Host1,108.0,17.167962962962964,0.015209395722434346,17.1,17.16,17.17,17.18,17.18,1000
Local Anchoring,Host2,108.0,16.651851851851855,0.01724741064939049,16.59,16.64,16.65,16.67,16.67,1000
Remote Anchoring,Host1,108.0,17.1787962962963,0.033172378798125866,17.06,17.15,17.17,17.21,17.22,1000
Remote Anchoring,Host2,108.0,17.1050925925926,0.0676783952104535,16.96,17.04,17.1,17.18,17.19,1000
Remote Anchoring with mTLS,Host1,108.0,18.99972222222222,0.09633914328867058,18.79,18.9075,19.025,19.09,19.1,1000
Remote Anchoring with mTLS,Host2,109.0,18.312477064220186,0.07727004070984636,18.11,18.27,18.32,18.38,18.4,1000
Baseline,Host1,1996.0,14.934193386773547,0.09031440863655757,14.74,14.84,14.97,15.02,15.04,10000
Baseline,Host2,1997.0,15.312979469203803,0.05298207507901192,15.23,15.27,15.3,15.36,15.41,10000
Local Anchoring,Host1,1060.0,17.29959433962264,0.08272464516625423,17.15,17.21,17.3,17.37,17.45,10000
Local Anchoring,Host2,1061.0,16.74046182846371,0.07998864131657953,16.59,16.66,16.73,16.8,17.17,10000
Remote Anchoring,Host1,1059.0,17.440387157695938,0.12963064173015876,17.15,17.33,17.45,17.56,17.62,10000
Remote Anchoring,Host2,1059.0,17.528243626062324,0.15084617393054997,17.16,17.42,17.55,17.62,17.78,10000
Remote Anchoring with mTLS,Host1,1065.0,19.37117370892019,0.1287126574207447,19.04,19.3,19.37,19.49,19.59,10000
Remote Anchoring with mTLS,Host2,1066.0,18.74328330206379,0.17602152141885097,18.38,18.6,18.74,18.9,19.03,10000
Baseline,Host1,20078.0,17.320381014045225,1.6280724775918425,14.98,16.73,16.81,18.29,20.81,100000
Baseline,Host2,20079.0,18.643319886448527,1.6796428235672172,15.29,18.49,18.62,19.92,21.61,100000
Local Anchoring,Host1,10597.0,19.120789846182884,0.9053714800522351,17.43,18.38,19.19,19.91,20.6,100000
Local Anchoring,Host2,10598.0,18.49902245706737,0.8964890401445413,16.85,17.67,18.615000000000002,19.28,19.96,100000
Remote Anchoring,Host1,10576.0,19.420086989409985,0.9745478248302142,17.55,18.56,19.51,20.24,20.89,100000
Remote Anchoring,Host2,10576.0,20.225030257186084,1.224964869098902,17.71,19.17,20.57,21.18,21.87,100000
Remote Anchoring with mTLS,Host1,8929.0,21.516930227349086,0.681160290329219,20.17,20.85,21.59,22.18,22.48,100000
Remote Anchoring with mTLS,Host2,11209.0,21.958918726023732,1.0078881646143587,19.93,21.07,21.99,22.84,23.34,100000
Baseline,Host1,202.0,14.408069306930695,0.02127140767772256,14.34,14.39,14.41,14.43,14.44,1000
Baseline,Host2,202.0,14.78158415841584,0.04515826614837012,14.64,14.75,14.8,14.81,14.86,1000
Local Anchoring,Host1,108.0,15.001574074074076,0.011533132850195362,14.95,15.0,15.0,15.01,15.01,1000
Local Anchoring,Host2,108.0,15.097129629629627,0.014145500650262741,15.04,15.09,15.1,15.11,15.12,1000
Remote Anchoring,Host1,107.0,18.18682242990654,0.014115302203778608,18.12,18.18,18.19,18.2,18.22,1000
Remote Anchoring,Host2,108.0,17.97527777777778,0.04024361174900115,17.89,17.93,17.975,18.02,18.02,1000
Remote Anchoring with mTLS,Host1,108.0,18.416481481481483,0.08757709356567454,18.26,18.31,18.44,18.5,18.53,1000
Remote Anchoring with mTLS,Host2,109.0,18.614770642201833,0.01330527118289692,18.56,18.61,18.62,18.62,18.63,1000
Baseline,Host1,1996.0,14.64375751503006,0.0936249078882323,14.36,14.57,14.68,14.72,14.77,10000
Baseline,Host2,1997.0,15.052173259889836,0.07057936610567504,14.8,15.03,15.07,15.1,15.14,10000
Local Anchoring,Host1,1064.0,15.363148496240603,0.1982234182777367,14.97,15.36,15.42,15.51,15.62,10000
Local Anchoring,Host2,1065.0,15.505981220657276,0.18991489888878402,15.09,15.5,15.54,15.63,15.76,10000
Remote Anchoring,Host1,1056.0,18.576392045454543,0.15794759972516245,18.17,18.46,18.59,18.72,18.82,10000
Remote Anchoring,Host2,1057.0,18.198817407757808,0.09981147835712319,17.94,18.14,18.2,18.3,18.37,10000
Remote Anchoring with mTLS,Host1,1068.0,18.80117041198502,0.1304553232476686,18.45,18.74,18.82,18.9,19.01,10000
Remote Anchoring with mTLS,Host2,1068.0,18.84751872659176,0.15990016984443003,18.57,18.71,18.805,18.97,19.14,10000
Baseline,Host1,20070.0,17.02399601395117,1.9214247095395598,14.84,15.47,16.28,18.81,20.97,100000
Baseline,Host2,25207.0,17.63890863648986,2.0343044939547967,15.0,15.74,16.67,19.77,21.24,100000
